,HexSSP-0,HexSSP-1,HexSSP-2,HexSSP-3,HexSSP-4,HexSSP-5,HexSSP-6,HexSSP-7,HexSSP-8,HexSSP-9,HexSSP-10,HexSSP-11,HexSSP-12,HexSSP-13,HexSSP-14,HexSSP-15,HexSSP-16,HexSSP-17,HexSSP-18,HexSSP-19,Discrete_19-0,Discrete_19-1,Discrete_19-2,Discrete_19-3,Discrete_19-4,Discrete_19-5,Discrete_19-6,Discrete_19-7,Discrete_19-8,Discrete_19-9,Discrete_15-0,Discrete_15-1,Discrete_15-2,Discrete_15-3,Discrete_15-4,Discrete_15-5,Discrete_15-6,Discrete_15-7,Discrete_15-8,Discrete_15-9,Discrete_11-0,Discrete_11-1,Discrete_11-2,Discrete_11-3,Discrete_11-4,Discrete_11-5,Discrete_11-6,Discrete_11-7,Discrete_11-8,Discrete_11-9,Discrete_07-0,Discrete_07-1,Discrete_07-2,Discrete_07-3,Discrete_07-4,Discrete_07-5,Discrete_07-6,Discrete_07-7,Discrete_07-8,Discrete_07-9,Discrete_03-0,Discrete_03-1,Discrete_03-2,Discrete_03-3,Discrete_03-4,Discrete_03-5,Discrete_03-6,Discrete_03-7,Discrete_03-8,Discrete_03-9
558,150.0,500.0,345.0,500.0,500.0,500.0,500.0,303.0,500.0,458.0,335.0,478.0,500.0,500.0,419.0,420.0,500.0,346.0,313.0,500.0,109.0,129.0,24.0,18.0,167.0,105.0,69.0,12.0,88.0,15.0,118.0,64.0,134.0,13.0,30.0,20.0,36.0,13.0,37.0,32.0,14.0,56.0,44.0,11.0,17.0,13.0,11.0,55.0,14.0,40.0,14.0,74.0,11.0,13.0,34.0,12.0,10.0,13.0,12.0,12.0,16.0,14.0,10.0,10.0,14.0,10.0,10.0,13.0,15.0,14.0
559,161.0,500.0,289.0,500.0,360.0,341.0,500.0,500.0,500.0,478.0,191.0,481.0,500.0,500.0,278.0,500.0,500.0,500.0,331.0,500.0,114.0,134.0,23.0,48.0,139.0,18.0,95.0,50.0,90.0,17.0,101.0,184.0,93.0,18.0,46.0,13.0,22.0,18.0,13.0,43.0,13.0,24.0,69.0,13.0,13.0,10.0,13.0,19.0,19.0,14.0,38.0,70.0,11.0,11.0,41.0,17.0,11.0,37.0,13.0,12.0,8.0,13.0,9.0,30.0,10.0,13.0,15.0,10.0,11.0,8.0
560,169.0,500.0,298.0,500.0,329.0,347.0,500.0,342.0,500.0,487.0,228.0,410.0,500.0,500.0,500.0,500.0,321.0,489.0,300.0,500.0,82.0,116.0,22.0,18.0,134.0,129.0,95.0,23.0,86.0,30.0,108.0,79.0,148.0,15.0,16.0,13.0,18.0,13.0,17.0,16.0,19.0,18.0,42.0,12.0,17.0,17.0,19.0,15.0,13.0,17.0,60.0,12.0,11.0,11.0,37.0,47.0,12.0,87.0,13.0,15.0,11.0,13.0,15.0,11.0,14.0,11.0,13.0,14.0,16.0,13.0
561,132.0,500.0,365.0,500.0,356.0,365.0,500.0,366.0,500.0,424.0,493.0,361.0,500.0,500.0,336.0,500.0,299.0,500.0,269.0,500.0,135.0,169.0,25.0,14.0,10.0,68.0,75.0,39.0,120.0,37.0,68.0,49.0,24.0,16.0,43.0,14.0,42.0,18.0,40.0,37.0,16.0,17.0,33.0,14.0,11.0,11.0,10.0,44.0,14.0,20.0,61.0,109.0,11.0,22.0,43.0,16.0,10.0,49.0,10.0,12.0,14.0,13.0,10.0,12.0,13.0,12.0,12.0,11.0,10.0,17.0
562,174.0,500.0,256.0,464.0,274.0,333.0,500.0,486.0,500.0,434.0,422.0,356.0,500.0,500.0,245.0,500.0,312.0,500.0,235.0,416.0,107.0,58.0,15.0,21.0,118.0,94.0,133.0,10.0,92.0,21.0,159.0,62.0,102.0,12.0,44.0,15.0,37.0,18.0,37.0,42.0,19.0,39.0,39.0,14.0,15.0,14.0,16.0,15.0,15.0,12.0,125.0,14.0,17.0,14.0,43.0,41.0,10.0,12.0,12.0,12.0,14.0,14.0,12.0,10.0,14.0,11.0,12.0,15.0,14.0,10.0
563,164.0,500.0,256.0,493.0,291.0,451.0,500.0,272.0,500.0,428.0,500.0,279.0,500.0,500.0,500.0,500.0,355.0,500.0,360.0,500.0,114.0,142.0,27.0,54.0,137.0,64.0,61.0,21.0,130.0,24.0,72.0,37.0,119.0,13.0,47.0,13.0,12.0,16.0,50.0,17.0,13.0,14.0,42.0,17.0,16.0,13.0,18.0,15.0,16.0,40.0,10.0,18.0,14.0,12.0,29.0,11.0,10.0,96.0,14.0,9.0,17.0,13.0,11.0,10.0,20.0,11.0,12.0,21.0,21.0,12.0
564,166.0,500.0,331.0,500.0,224.0,381.0,485.0,388.0,500.0,369.0,416.0,358.0,500.0,500.0,313.0,500.0,500.0,404.0,300.0,500.0,57.0,153.0,17.0,11.0,95.0,120.0,40.0,44.0,83.0,27.0,106.0,103.0,78.0,12.0,63.0,23.0,32.0,18.0,30.0,18.0,15.0,46.0,36.0,16.0,16.0,14.0,30.0,13.0,11.0,53.0,99.0,11.0,12.0,11.0,12.0,9.0,10.0,56.0,9.0,16.0,11.0,27.0,10.0,13.0,16.0,12.0,10.0,12.0,11.0,18.0
565,152.0,500.0,422.0,500.0,221.0,372.0,500.0,215.0,492.0,358.0,500.0,390.0,500.0,500.0,456.0,500.0,341.0,500.0,420.0,500.0,99.0,126.0,19.0,18.0,149.0,64.0,57.0,32.0,78.0,23.0,82.0,49.0,128.0,15.0,52.0,14.0,38.0,16.0,18.0,30.0,14.0,16.0,63.0,13.0,15.0,13.0,33.0,17.0,10.0,15.0,12.0,104.0,9.0,11.0,15.0,15.0,11.0,10.0,10.0,10.0,12.0,15.0,15.0,10.0,12.0,10.0,9.0,11.0,12.0,17.0
566,143.0,500.0,312.0,500.0,212.0,269.0,500.0,340.0,411.0,403.0,296.0,430.0,500.0,471.0,370.0,500.0,311.0,500.0,243.0,500.0,182.0,81.0,26.0,40.0,119.0,103.0,54.0,44.0,31.0,17.0,30.0,50.0,111.0,19.0,50.0,17.0,23.0,20.0,44.0,27.0,12.0,52.0,53.0,16.0,14.0,19.0,16.0,16.0,14.0,11.0,33.0,11.0,11.0,12.0,14.0,81.0,12.0,74.0,11.0,11.0,18.0,13.0,14.0,11.0,16.0,24.0,10.0,17.0,13.0,12.0
567,155.0,500.0,337.0,500.0,240.0,379.0,499.0,148.0,500.0,487.0,500.0,301.0,500.0,500.0,278.0,500.0,402.0,466.0,446.0,500.0,119.0,105.0,22.0,22.0,48.0,77.0,120.0,30.0,116.0,16.0,120.0,43.0,81.0,19.0,50.0,25.0,40.0,17.0,60.0,17.0,12.0,31.0,57.0,15.0,15.0,10.0,10.0,15.0,14.0,35.0,16.0,103.0,16.0,14.0,36.0,21.0,11.0,81.0,12.0,12.0,11.0,15.0,12.0,12.0,16.0,21.0,11.0,16.0,12.0,15.0
